Year,ComSvcAutoPropIcev,ComSvcAutoPropHev,ComSvcAutoPropBev,ComSvcLtTrkPropIcev,ComSvcLtTrkPropHev,ComSvcLtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,1,0,0,1,0,0
2010,1,0,0,1,0,0
2015,0.999985,0.000014,0.000002,0.999985,0.000014,0.000002
2020,0.999886,0.000007,0.000107,0.999886,0.000007,0.000107
2025,0.988811,0.000957,0.010233,0.988811,0.000957,0.010233
2030,0.910511,0.007722,0.081766,0.910511,0.007722,0.081766
2035,0.754979,0.021213,0.223808,0.754979,0.021213,0.223808
2040,0.610806,0.033583,0.355611,0.610806,0.033583,0.355611
2045,0.515451,0.041776,0.442772,0.515451,0.041776,0.442772
2050,0.45177,0.047659,0.50057,0.45177,0.047659,0.50057
