Year,AveComSvcVehicleAge
1990,5.97
1995,6.54
2000,6.93
2005,7.63
2010,8.26
2015,8.96
2020,8.96
2025,8.96
2030,8.96
2035,8.96
2040,8.96
2045,8.96
2050,8.96
