Year,ComSvcAutoPropIcev,ComSvcAutoPropHev,ComSvcAutoPropBev,ComSvcLtTrkPropIcev,ComSvcLtTrkPropHev,ComSvcLtTrkPropBev
1975,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1976,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1977,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1978,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1979,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1980,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1981,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1982,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1983,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1984,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1985,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1986,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1987,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1988,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1989,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1990,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1991,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1992,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1993,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1994,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1995,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1996,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1997,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1998,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1999,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2001,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2002,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2003,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2004,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2005,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2006,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2007,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2008,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2009,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2010,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2011,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2012,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2013,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2014,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
2015,0.999985,0.000014,0.000002,0.999985,0.000014,0.000002
2016,0.999976,0.000010,0.000015,0.999976,0.000010,0.000015
2017,0.999974,0.000009,0.000017,0.999974,0.000009,0.000017
2018,0.999978,0.000007,0.000015,0.999978,0.000007,0.000015
2019,0.999961,0.000008,0.000031,0.999961,0.000008,0.000031
2020,0.999886,0.000007,0.000107,0.999886,0.000007,0.000107
2021,0.999821,0.000006,0.000173,0.999821,0.000006,0.000173
2022,0.999756,0.000006,0.000238,0.999756,0.000006,0.000238
2023,0.999693,0.000005,0.000301,0.999693,0.000005,0.000301
2024,0.994694,0.000445,0.004861,0.994694,0.000445,0.004861
2025,0.988811,0.000957,0.010233,0.988811,0.000957,0.010233
2026,0.981945,0.001552,0.016503,0.981945,0.001552,0.016503
2027,0.971425,0.002461,0.026114,0.971425,0.002461,0.026114
2028,0.955924,0.003799,0.040277,0.955924,0.003799,0.040277
2029,0.935587,0.005554,0.058859,0.935587,0.005554,0.058859
2030,0.910511,0.007722,0.081766,0.910511,0.007722,0.081766
2031,0.883415,0.010065,0.106520,0.883415,0.010065,0.106520
2032,0.854494,0.012570,0.132937,0.854494,0.012570,0.132937
2033,0.823400,0.015277,0.161323,0.823400,0.015277,0.161323
2034,0.790118,0.018172,0.191710,0.790118,0.018172,0.191710
2035,0.754979,0.021213,0.223808,0.754979,0.021213,0.223808
2036,0.722107,0.024038,0.253856,0.722107,0.024038,0.253856
2037,0.691141,0.026701,0.282158,0.691141,0.026701,0.282158
2038,0.662939,0.029117,0.307944,0.662939,0.029117,0.307944
2039,0.635914,0.031435,0.332652,0.635914,0.031435,0.332652
2040,0.610806,0.033583,0.355611,0.610806,0.033583,0.355611
2041,0.588094,0.035535,0.376371,0.588094,0.035535,0.376371
2042,0.567040,0.037312,0.395648,0.567040,0.037312,0.395648
2043,0.548206,0.038900,0.412894,0.548206,0.038900,0.412894
2044,0.531330,0.040361,0.428309,0.531330,0.040361,0.428309
2045,0.515451,0.041776,0.442772,0.515451,0.041776,0.442772
2046,0.501197,0.043068,0.455736,0.501197,0.043068,0.455736
2047,0.489975,0.044117,0.465908,0.489975,0.044117,0.465908
2048,0.477192,0.045304,0.477503,0.477192,0.045304,0.477503
2049,0.464770,0.046462,0.488768,0.464770,0.046462,0.488768
2050,0.451770,0.047659,0.500570,0.451770,0.047659,0.500570
