ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
2039,0.444967212,0.208929941,0.086525712,0.259577135,0.622387327,0.141651329,0.079511067,0.156450277
2040,0.438067212,0.215829941,0.086525712,0.259577135,0.616487327,0.147551329,0.079511067,0.156450277
2041,0.431167212,0.222729941,0.086525712,0.259577135,0.610587327,0.153451329,0.079511067,0.156450277
2042,0.424267212,0.229629941,0.086525712,0.259577135,0.604687327,0.159351329,0.079511067,0.156450277
2043,0.417367212,0.236529941,0.086525712,0.259577135,0.598787327,0.165251329,0.079511067,0.156450277
2044,0.410467212,0.243429941,0.086525712,0.259577135,0.592887327,0.171151329,0.079511067,0.156450277
2045,0.403567212,0.250329941,0.086525712,0.259577135,0.586987327,0.177051329,0.079511067,0.156450277
2046,0.396667212,0.257229941,0.086525712,0.259577135,0.581087327,0.182951329,0.079511067,0.156450277
2047,0.389767212,0.264129941,0.086525712,0.259577135,0.575187327,0.188851329,0.079511067,0.156450277
2048,0.382867212,0.271029941,0.086525712,0.259577135,0.569287327,0.194751329,0.079511067,0.156450277
2049,0.375967212,0.277929941,0.086525712,0.259577135,0.563387327,0.200651329,0.079511067,0.156450277
2050,0.369067212,0.284829941,0.086525712,0.259577135,0.557487327,0.206551329,0.079511067,0.156450277
