Year,HvyTrkIcevMpg,HvyTrkHevMpg,HvyTrkBevMpkwh
1975,5.085714285714286,,
1976,5.100000000000001,,
1977,5.1142857142857165,,
1978,5.128571428571431,,
1979,5.14761904761905,,
1980,5.161904761904765,,
1981,5.176190476190479,,
1982,5.228571428571431,,
1983,5.314285714285718,,
1984,5.461904761904765,,
1985,5.561904761904765,,
1986,5.652380952380956,,
1987,5.702424608000003,,
1988,5.771437422285718,,
1989,5.823778733714289,,
1990,5.836413661952385,,
1991,5.837750186666671,,
1992,5.852873857000004,,
1993,5.866425716380956,,
1994,5.903464762380956,,
1995,5.958038625571432,,
1996,5.944093870809527,,
1997,5.805579613047623,,
1998,5.725460585285718,,
1999,5.705014697238099,,
2000,5.744974077857146,,
2001,5.8566240112380985,,
2002,5.922429552952384,,
2003,5.901890203095242,,
2004,5.920627795000003,,
2005,5.9769680173809565,,
2006,6.050726132428575,,
2007,6.116083023476195,,
2008,6.158001345190479,,
2009,6.175718422190481,,
2010,6.137978139333337,,
2011,6.103454344476194,,
2012,6.084696711333336,,
2013,6.0850083236666705,,
2014,6.107605562761909,,
2015,6.131208857619051,,
2016,6.138320833095242,,
2017,6.120815536714289,,
2018,6.099045841000004,,
2019,6.088688930571432,,0.5221245344047618
2020,6.104836680047623,,0.5345283069285715
2021,6.136571181,,0.55555407
2022,6.176547287,,0.56546993
2023,6.22638115,,0.574733147
2024,6.301225932,6.394154465,0.632990883
2025,6.392318438,6.469186217,0.643851905
2026,6.500769616,6.552068067,0.654170689
2027,6.628268408,6.652997198,0.664942357
2028,6.766129699,6.762160232,0.675441198
2029,6.916367431,6.871495019,0.68572278
2030,7.076794787,6.978859504,0.695899016
2031,7.244933286,7.074475543,0.703362791
2032,7.417212237,7.151959782,0.709029734
2033,7.581808214,7.211658784,0.712772231
2034,7.741947565,7.27296506,0.716034839
2035,7.894572338,7.327785045,0.718825523
2036,7.894572338,7.373267414,0.721260523
2037,7.894572338,7.416517402,0.723517552
2038,7.894572338,7.454028734,0.725527953
2039,7.894572338,7.488293806,0.727375564
2040,7.894572338,7.517837798,0.729121207
2041,7.894572338,7.552274795,0.731039645
2042,7.894572338,7.5855612,0.732747643
2043,7.894572338,7.618633782,0.734360755
2044,7.894572338,7.651165779,0.735752422
2045,7.894572338,7.679706856,0.736796204
2046,7.894572338,7.705373558,0.737575905
2047,7.894572338,7.730251037,0.738314499
2048,7.894572338,7.755821614,0.739243429
2049,7.894572338,7.780226433,0.740092234
2050,7.894572338,7.80403237,0.740897743
