Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
1990,100.79,100.79,100.84,101.61,100.79,NA,NA
1995,100.79,100.79,100.92,101.61,100.79,NA,NA
2000,100.79,100.79,101.01,101.61,100.79,NA,NA
2005,97.24,97.24,98.67,100.89,97.24,NA,NA
2010,97.23,97.23,98.71,99.2,97.23,NA,NA
2015,98.64,98.64,98.42,98.98,98.64,NA,NA
2020,98.16992546,98.16992546,95.28718504,96.46692682,95.28718504,NA,NA
2025,96.28825195,96.28825195,87.26154571,85.19469806,87.26154571,NA,NA
2030,96.28825195,96.28825195,87.26154571,85.19469806,87.26154571,NA,NA
2035,96.28825195,96.28825195,87.26154571,85.19469806,87.26154571,NA,NA
2040,96.28825195,96.28825195,87.26154571,85.19469806,87.26154571,NA,NA
2045,96.28825195,96.28825195,87.26154571,85.19469806,87.26154571,NA,NA
2050,96.28825195,96.28825195,87.26154571,85.19469806,87.26154571,NA,NA
