Geo,Year,AveHhSize,Prop1PerHh
Baker,1990,2.470016474,0.228126927
Benton,1990,2.374958814,0.262989492
Clackamas,1990,2.630939044,0.220995041
Clatsop,1990,2.234283361,0.291982797
Columbia,1990,2.630197694,0.174872024
Coos,1990,2.25416804,0.248305097
Crook,1990,2.753360791,0.13789421
Curry,1990,2.181482702,0.248066607
Deschutes,1990,2.448138386,0.202842279
Douglas,1990,2.520757825,0.233650083
Gilliam,1990,2.038649094,0.352810189
Grant,1990,2.358912685,0.23764708
Harney,1990,2.363937397,0.296919236
Hood River,1990,2.694925865,0.188896792
Jackson,1990,2.431252059,0.241912972
Jefferson,1990,2.595107084,0.156827296
Josephine,1990,2.419670511,0.254286294
Klamath,1990,2.52214168,0.237566922
Lake,1990,2.500988468,0.16413757
Lane,1990,2.390444811,0.254032706
Lincoln,1990,2.23383855,0.297507384
Linn,1990,2.532009885,0.22563878
Malheur,1990,2.876968699,0.212839598
Marion,1990,2.594069193,0.236797399
Morrow,1990,2.941235585,0.194659762
Multnomah,1990,2.277907743,0.337919531
Polk,1990,2.594794069,0.232355382
Sherman,1990,2.567001647,0.264209877
Tillamook,1990,2.146836903,0.279825181
Umatilla,1990,2.600955519,0.220687893
Union,1990,2.451186161,0.255000635
Wallowa,1990,2.416589786,0.258172266
Wasco,1990,2.414431631,0.261193452
Washington,1990,2.567462932,0.258424418
Wheeler,1990,2.337907743,0.298896762
Yamhill,1990,2.767298188,0.185148334
Baker,1995,2.415107084,0.245235719
Benton,1995,2.37723229,0.267297182
Clackamas,1995,2.621103789,0.225770513
Clatsop,1995,2.247841845,0.297056902
Columbia,1995,2.621285008,0.189892039
Coos,1995,2.272092257,0.262649449
Crook,1995,2.67184514,0.163877259
Curry,1995,2.169637562,0.265853059
Deschutes,1995,2.452899506,0.211664065
Douglas,1995,2.494925865,0.240453332
Gilliam,1995,2.07121911,0.350909085
Grant,1995,2.322932455,0.251938227
Harney,1995,2.340593081,0.288793723
Hood River,1995,2.677018122,0.203126535
Jackson,1995,2.428138386,0.250887475
Jefferson,1995,2.623196046,0.172151445
Josephine,1995,2.40785832,0.262052497
Klamath,1995,2.493920923,0.24394676
Lake,1995,2.416425041,0.19877005
Lane,1995,2.387891269,0.261562134
Lincoln,1995,2.229950577,0.302082662
Linn,1995,2.54306425,0.230428609
Malheur,1995,2.83029654,0.226209082
Marion,1995,2.621449753,0.240471467
Morrow,1995,2.933031301,0.199173511
Multnomah,1995,2.301400329,0.336184176
Polk,1995,2.60616145,0.233350312
Sherman,1995,2.490510708,0.276206637
Tillamook,1995,2.189439868,0.284745275
Umatilla,1995,2.616210873,0.228378912
Union,1995,2.447710049,0.256735012
Wallowa,1995,2.372833608,0.274436423
Wasco,1995,2.413805601,0.264769473
Washington,1995,2.583509061,0.256436053
Wheeler,1995,2.271400329,0.307377424
Yamhill,1995,2.762438221,0.193890782
Baker,2000,2.360197694,0.262344511
Benton,2000,2.379505766,0.271604873
Clackamas,2000,2.611268534,0.230545985
Clatsop,2000,2.261400329,0.302131008
Columbia,2000,2.612372323,0.204912053
Coos,2000,2.290016474,0.276993801
Crook,2000,2.590329489,0.189860307
Curry,2000,2.157792422,0.283639511
Deschutes,2000,2.457660626,0.220485851
Douglas,2000,2.469093904,0.247256582
Gilliam,2000,2.103789127,0.349007982
Grant,2000,2.286952224,0.266229375
Harney,2000,2.317248764,0.280668211
Hood River,2000,2.659110379,0.217356278
Jackson,2000,2.425024712,0.259861977
Jefferson,2000,2.651285008,0.187475594
Josephine,2000,2.396046129,0.269818701
Klamath,2000,2.465700165,0.250326598
Lake,2000,2.331861614,0.233402529
Lane,2000,2.385337727,0.269091562
Lincoln,2000,2.226062603,0.30665794
Linn,2000,2.554118616,0.235218438
Malheur,2000,2.783624382,0.239578567
Marion,2000,2.648830313,0.244145536
Morrow,2000,2.924827018,0.20368726
Multnomah,2000,2.324892916,0.334448821
Polk,2000,2.61752883,0.234345241
Sherman,2000,2.414019769,0.288203396
Tillamook,2000,2.232042834,0.28966537
Umatilla,2000,2.631466227,0.23606993
Union,2000,2.444233937,0.258469388
Wallowa,2000,2.32907743,0.29070058
Wasco,2000,2.413179572,0.268345494
Washington,2000,2.599555189,0.254447688
Wheeler,2000,2.204892916,0.315858085
Yamhill,2000,2.757578254,0.202633231
Baker,2005,2.305288303,0.279453302
Benton,2005,2.381779242,0.275912564
Clackamas,2005,2.601433278,0.235321457
Clatsop,2005,2.274958814,0.307205114
Columbia,2005,2.603459638,0.219932067
Coos,2005,2.307940692,0.291338154
Crook,2005,2.508813839,0.215843356
Curry,2005,2.145947282,0.301425964
Deschutes,2005,2.462421746,0.229307637
Douglas,2005,2.443261944,0.254059831
Gilliam,2005,2.136359143,0.347106878
Grant,2005,2.250971993,0.280520522
Harney,2005,2.293904448,0.272542698
Hood River,2005,2.641202636,0.23158602
Jackson,2005,2.421911038,0.26883648
Jefferson,2005,2.67937397,0.202799743
Josephine,2005,2.384233937,0.277584905
Klamath,2005,2.437479407,0.256706435
Lake,2005,2.247298188,0.268035009
Lane,2005,2.382784185,0.27662099
Lincoln,2005,2.222174629,0.311233217
Linn,2005,2.565172982,0.240008267
Malheur,2005,2.736952224,0.252948052
Marion,2005,2.676210873,0.247819605
Morrow,2005,2.916622735,0.208201009
Multnomah,2005,2.348385502,0.332713466
Polk,2005,2.628896211,0.23534017
Sherman,2005,2.33752883,0.300200156
Tillamook,2005,2.274645799,0.294585464
Umatilla,2005,2.646721582,0.243760948
Union,2005,2.440757825,0.260203765
Wallowa,2005,2.285321252,0.306964737
Wasco,2005,2.412553542,0.271921515
Washington,2005,2.615601318,0.252459322
Wheeler,2005,2.138385502,0.324338746
Yamhill,2005,2.752718287,0.211375679
Baker,2010,2.250378913,0.296562094
Benton,2010,2.384052718,0.280220255
Clackamas,2010,2.591598023,0.240096929
Clatsop,2010,2.288517298,0.312279219
Columbia,2010,2.594546952,0.234952081
Coos,2010,2.325864909,0.305682506
Crook,2010,2.427298188,0.241826404
Curry,2010,2.134102142,0.319212416
Deschutes,2010,2.467182867,0.238129423
Douglas,2010,2.417429984,0.26086308
Gilliam,2010,2.16892916,0.345205775
Grant,2010,2.214991763,0.29481167
Harney,2010,2.270560132,0.264417186
Hood River,2010,2.623294893,0.245815763
Jackson,2010,2.418797364,0.277810983
Jefferson,2010,2.707462932,0.218123892
Josephine,2010,2.372421746,0.285351108
Klamath,2010,2.409258649,0.263086273
Lake,2010,2.162734761,0.302667489
Lane,2010,2.380230643,0.284150417
Lincoln,2010,2.218286656,0.315808495
Linn,2010,2.576227348,0.244798096
Malheur,2010,2.690280066,0.266317536
Marion,2010,2.703591433,0.251493674
Morrow,2010,2.908418451,0.212714758
