Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
1990,100.79,100.79,100.84,101.61,100.79,NA,NA
1995,100.79,100.79,100.92,101.61,100.79,NA,NA
2000,100.79,100.79,101.01,101.61,100.79,NA,NA
2005,97.24,97.24,98.67,100.89,97.24,NA,NA
2010,97.23,97.23,98.71,99.20,97.23,NA,NA
2015,98.64,98.64,98.42,98.98,98.64,NA,NA
2020,96.64,96.64,96.43,97.22,96.64,NA,NA
2025,90.65,90.65,90.45,94.41,90.65,NA,NA
2030,90.65,90.65,90.45,94.41,90.65,NA,NA
2035,90.65,90.65,90.45,94.10,90.65,NA,NA
2040,90.65,90.65,90.45,94.10,90.65,NA,NA
2045,90.65,90.65,90.45,94.10,90.65,NA,NA
2050,90.65,90.65,90.45,94.10,90.65,NA,NA
