Geo,Year,FwyLaneMi,ArtLaneMi
Albany,1990,35,133
Albany,1995,35,133
Albany,2000,35,133
Albany,2005,35,133
Albany,2010,35,133
Albany,2015,35,133
Albany,2020,78.98643001,300.1484341
Albany,2025,78.98643001,303.3723699
Albany,2030,78.98643001,306.596306
Albany,2035,78.98643001,309.8202418
Albany,2040,78.98643001,313.0441777
Albany,2045,78.98643001,316.2681135
Albany,2050,78.98643001,322.7159855
Bend,1990,48,156.29
Bend,1995,48,158.44
Bend,2000,48,160.93
Bend,2005,48,164
Bend,2010,48,163
Bend,2015,48,181
Bend,2020,108.3242469,408.4726809
Bend,2025,108.3242469,408.4726809
Bend,2030,108.3242469,408.4726809
Bend,2035,108.3242469,408.4726809
Bend,2040,108.3242469,408.4726809
Bend,2045,108.3242469,408.4726809
Bend,2050,108.3242469,408.4726809
Corvallis,1990,10,135.9999775
Corvallis,1995,10,136.7870039
Corvallis,2000,10,132.75
Corvallis,2005,10,136
Corvallis,2010,10,131
Corvallis,2015,10,143
Corvallis,2020,22.56755143,322.7159855
Corvallis,2025,22.56755143,324.9727406
Corvallis,2030,22.56755143,327.2294958
Corvallis,2035,22.56755143,329.4862509
Corvallis,2040,22.56755143,331.7430061
Corvallis,2045,22.56755143,333.9997612
Corvallis,2050,22.56755143,338.5132715
EugeneSpringfield,1990,126.58,411.589941
EugeneSpringfield,1995,127.81,414.259941
EugeneSpringfield,2000,129.17,417.199941
EugeneSpringfield,2005,130,419
EugeneSpringfield,2010,137,401
EugeneSpringfield,2015,142,416
EugeneSpringfield,2020,320.4592303,938.8101396
EugeneSpringfield,2025,324.6181076,964.0535579
EugeneSpringfield,2030,328.776985,989.2969761
EugeneSpringfield,2035,332.9358623,1014.540394
EugeneSpringfield,2040,337.0947397,1039.783812
EugeneSpringfield,2045,341.253617,1065.027231
EugeneSpringfield,2050,349.5713717,1115.514067
GrantsPass,1990,100,159
GrantsPass,1995,100,159
GrantsPass,2000,100,159
GrantsPass,2005,100,159
GrantsPass,2010,100,159
GrantsPass,2015,100,159
GrantsPass,2020,225.6755143,358.8240678
GrantsPass,2025,225.6755143,358.8240678
GrantsPass,2030,225.6755143,358.8240678
GrantsPass,2035,225.6755143,358.8240678
GrantsPass,2040,225.6755143,358.8240678
GrantsPass,2045,225.6755143,358.8240678
GrantsPass,2050,225.6755143,358.8240678
Metro,1990,506.4,1943.019429
Metro,1995,512.8,1959.999429
Metro,2000,520.91,1981.489429
Metro,2005,523,1995
Metro,2010,535,2014
Metro,2015,562,2094
Metro,2020,1290.863942,4881.361375
Metro,2025,1312.303116,5037.07748
Metro,2030,1333.74229,5192.793585
Metro,2035,1355.181464,5348.509689
Metro,2040,1376.620637,5504.225794
Metro,2045,1393.546301,5585.46898
Metro,2050,1410.471965,5666.712165
RogueValley,1990,101.26,410
RogueValley,1995,102.6,413.27
RogueValley,2000,103.83,416.3
RogueValley,2005,104.76,418.59
RogueValley,2010,115,418.59
RogueValley,2015,114,415
RogueValley,2020,257.2700863,936.5533844
RogueValley,2025,257.2700863,936.5533844
RogueValley,2030,257.2700863,936.5533844
RogueValley,2035,257.2700863,936.5533844
RogueValley,2040,257.2700863,936.5533844
RogueValley,2045,257.2700863,936.5533844
RogueValley,2050,257.2700863,936.5533844
SalemKeizer,1990,119.37,408.96
SalemKeizer,1995,120.34,412.66
SalemKeizer,2000,121.41,416.75
SalemKeizer,2005,122,419
SalemKeizer,2010,129,419
SalemKeizer,2015,137,434
SalemKeizer,2020,323.8443631,983.7195669
SalemKeizer,2025,338.5132715,988.0074017
SalemKeizer,2030,353.1821799,992.2952365
SalemKeizer,2035,367.8510883,996.5830713
SalemKeizer,2040,367.8510883,996.5830713
SalemKeizer,2045,382.5199968,1000.870906
SalemKeizer,2050,397.1889052,1005.158741
None,1990,2237,12546
None,1995,2250,11678
None,2000,2270,14223
None,2005,2236,14465
None,2010,2202,14706
None,2015,2333,15145
None,2020,5265.009749,34178.55664
None,2025,5265.009749,34178.55664
None,2030,5265.009749,34178.55664
None,2035,5265.009749,34178.55664
None,2040,5265.009749,34178.55664
None,2045,5265.009749,34178.55664
None,2050,5265.009749,34178.55664
