Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
SalemKeizer,2015,0,0,0.023693475,0
SalemKeizer,2020,0,0,0.038029223,0
SalemKeizer,2025,0.18875,0.18875,0.213597615,0.18875
SalemKeizer,2030,0.373125,0.373125,0.411744134,0.373125
SalemKeizer,2035,0.498125,0.498125,0.551174264,0.498125
SalemKeizer,2040,0.544375,0.544375,0.611707408,0.544375
SalemKeizer,2045,0.5575,0.5575,0.637023031,0.5575
SalemKeizer,2050,0.56125,0.56125,0.651060646,0.56125
None,1990,0,0,0,0
None,1995,0,0,0,0
None,2000,0,0,0,0
None,2005,0,0,0.001950954,0
None,2010,0,0,0.013075491,0
None,2015,0,0,0.023693475,0
None,2020,0,0,0.038029223,0
None,2025,0.18875,0.18875,0.213597615,0.18875
None,2030,0.373125,0.373125,0.411744134,0.373125
None,2035,0.498125,0.498125,0.551174264,0.498125
None,2040,0.544375,0.544375,0.611707408,0.544375
None,2045,0.5575,0.5575,0.637023031,0.5575
None,2050,0.56125,0.56125,0.651060646,0.56125
