Geo,Year,CenterPkgSpacesPerSFDU,InnerPkgSpacesPerSFDU,OuterPkgSpacesPerSFDU,CenterPkgSpacesPerMFDU,InnerPkgSpacesPerMFDU,OuterPkgSpacesPerMFDU,CenterPkgSpacesPerGQ,InnerPkgSpacesPerGQ,OuterPkgSpacesPerGQ
Metro,1990,3.498521084,5.287033147,5.577615874,2.613403847,3.148958931,2.908421228,1.576688351,1.524682563,1.428420489
Metro,1995,3.498521084,5.287033147,5.577615874,2.613403847,3.148958931,2.908421228,1.576688351,1.524682563,1.428420489
Metro,2000,3.498521084,5.287033147,5.577615874,2.613403847,3.148958931,2.908421228,1.576688351,1.524682563,1.428420489
Metro,2005,3.498521084,5.287033147,5.577615874,2.613403847,3.148958931,2.908421228,1.576688351,1.524682563,1.428420489
Metro,2010,3.498521084,5.287033147,5.577615874,2.613403847,3.148958931,2.908421228,1.576688351,1.524682563,1.428420489
Metro,2015,3.498521084,5.287033147,5.577615874,2.613403847,3.148958931,2.908421228,1.576688351,1.524682563,1.428420489
Metro,2020,3.556879322,5.304493625,5.578786753,2.633028714,3.144180563,2.905081437,1.576278675,1.521816818,1.427323594
Metro,2025,3.61523756,5.321954104,5.579957631,2.65265358,3.139402196,2.901741646,1.575868999,1.518951074,1.4262267
Metro,2030,3.673595798,5.339414582,5.581128509,2.672278447,3.134623828,2.898401855,1.575459323,1.516085329,1.425129805
Metro,2035,3.731954036,5.356875061,5.582299387,2.691903313,3.12984546,2.895062064,1.575049648,1.513219585,1.42403291
Metro,2040,3.790312274,5.374335539,5.583470265,2.71152818,3.125067093,2.891722273,1.574639972,1.51035384,1.422936016
Metro,2045,3.790312274,5.374335539,5.583470265,2.71152818,3.125067093,2.891722273,1.574639972,1.51035384,1.422936016
Metro,2050,3.790312274,5.374335539,5.583470265,2.71152818,3.125067093,2.891722273,1.574639972,1.51035384,1.422936016
Bend,1990,5.084848485,5.400182715,5.634881612,3.177575758,3.131902065,2.87979282,1.504242424,1.510652293,1.418340653
Bend,1995,5.084848485,5.400182715,5.634881612,3.177575758,3.131902065,2.87979282,1.504242424,1.510652293,1.418340653
Bend,2000,5.084848485,5.400182715,5.634881612,3.177575758,3.131902065,2.87979282,1.504242424,1.510652293,1.418340653
Bend,2005,5.084848485,5.400182715,5.634881612,3.177575758,3.131902065,2.87979282,1.504242424,1.510652293,1.418340653
Bend,2010,5.084848485,5.400182715,5.634881612,3.177575758,3.131902065,2.87979282,1.504242424,1.510652293,1.418340653
Bend,2015,4.995082183,5.406716635,5.645652631,3.144886829,3.131663583,2.891177093,1.49960021,1.510094105,1.420886959
Bend,2020,4.905315881,5.413250556,5.656423651,3.112197901,3.1314251,2.902561365,1.494957996,1.509535916,1.423433265
Bend,2025,4.81554958,5.419784476,5.66719467,3.079508972,3.131186618,2.913945637,1.490315781,1.508977727,1.425979572
Bend,2030,4.725783278,5.426318396,5.67796569,3.046820044,3.130948136,2.92532991,1.485673567,1.508419539,1.428525878
Bend,2035,4.636016976,5.432852317,5.68873671,3.014131115,3.130709654,2.936714182,1.481031353,1.50786135,1.431072184
Bend,2040,4.546250674,5.439386237,5.699507729,2.981442187,3.130471172,2.948098454,1.476389139,1.507303162,1.43361849
Bend,2045,4.546250674,5.439386237,5.699507729,2.981442187,3.130471172,2.948098454,1.476389139,1.507303162,1.43361849
Bend,2050,4.546250674,5.439386237,5.699507729,2.981442187,3.130471172,2.948098454,1.476389139,1.507303162,1.43361849
