Geo,Year,CenterPkgSpacesPerSFDU,InnerPkgSpacesPerSFDU,OuterPkgSpacesPerSFDU,CenterPkgSpacesPerMFDU,InnerPkgSpacesPerMFDU,OuterPkgSpacesPerMFDU,CenterPkgSpacesPerGQ,InnerPkgSpacesPerGQ,OuterPkgSpacesPerGQ
Corvallis,1990,3.28,5.31445817,5.54806025,2.585270506,3.017153285,2.850810053,1.42,1.48,1.41
Corvallis,1995,3.28,5.31445817,5.54806025,2.585270506,3.017153285,2.850810053,1.417521815,1.481302639,1.412487959
Corvallis,2000,3.28,5.31445817,5.54806025,2.585270506,3.017153285,2.850810053,1.417521815,1.481302639,1.412487959
Corvallis,2005,3.28,5.31445817,5.54806025,2.585270506,3.017153285,2.850810053,1.417521815,1.481302639,1.412487959
Corvallis,2010,3.28,5.31445817,5.54806025,2.585270506,3.017153285,2.850810053,1.417521815,1.481302639,1.412487959
Corvallis,2015,3.361268939,5.341191305,5.552184712,2.611329405,3.026286681,2.850183451,1.422959284,1.482163908,1.412002027
Corvallis,2020,3.442537879,5.36792444,5.556309173,2.637388304,3.035420077,2.849556848,1.428396753,1.483025177,1.411516095
Corvallis,2025,3.523806818,5.394657574,5.560433634,2.663447203,3.044553473,2.848930246,1.433834221,1.483886445,1.411030164
Corvallis,2030,3.605075758,5.421390709,5.564558095,2.689506102,3.053686869,2.848303644,1.43927169,1.484747714,1.410544232
Corvallis,2035,3.686344697,5.448123844,5.568682556,2.715565001,3.062820265,2.847677041,1.444709159,1.485608983,1.4100583
Corvallis,2040,3.767613636,5.474856979,5.572807018,2.7416239,3.071953661,2.847050439,1.450146628,1.486470252,1.409572368
Corvallis,2045,3.767613636,5.474856979,5.572807018,2.7416239,3.071953661,2.847050439,1.450146628,1.486470252,1.409572368
Corvallis,2050,3.767613636,5.474856979,5.572807018,2.7416239,3.071953661,2.847050439,1.450146628,1.486470252,1.409572368
EugeneSpringfield,1990,3.635044128,5.287624008,5.52827912,2.66,3.15,2.87,1.58,1.52,1.42
EugeneSpringfield,1995,3.635044128,5.287624008,5.52827912,2.66,3.15,2.87,1.58,1.52,1.42
EugeneSpringfield,2000,3.635044128,5.287624008,5.52827912,2.66,3.15,2.87,1.58,1.52,1.42
EugeneSpringfield,2005,3.635044128,5.287624008,5.52827912,2.66,3.15,2.87,1.58,1.52,1.42
EugeneSpringfield,2010,3.635044128,5.287624008,5.52827912,2.66,3.15,2.87,1.58,1.52,1.42
EugeneSpringfield,2015,3.668858046,5.290519608,5.533364605,2.67265624,3.1454976,2.86965422,1.580256109,1.519308853,1.419535052
EugeneSpringfield,2020,3.702671964,5.293415207,5.53845009,2.68531248,3.1409952,2.86930844,1.580512219,1.518617707,1.419070104
EugeneSpringfield,2025,3.736485882,5.296310807,5.543535575,2.697968719,3.136492801,2.868962661,1.580768328,1.51792656,1.418605156
EugeneSpringfield,2030,3.7702998,5.299206407,5.54862106,2.710624959,3.131990401,2.868616881,1.581024438,1.517235413,1.418140208
EugeneSpringfield,2035,3.804113718,5.302102007,5.553706545,2.723281199,3.127488001,2.868271101,1.581280547,1.516544266,1.41767526
EugeneSpringfield,2040,3.804113718,5.302102007,5.553706545,2.723281199,3.127488001,2.868271101,1.581280547,1.516544266,1.41767526
EugeneSpringfield,2045,3.804113718,5.302102007,5.553706545,2.723281199,3.127488001,2.868271101,1.581280547,1.516544266,1.41767526
EugeneSpringfield,2050,3.804113718,5.302102007,5.553706545,2.723281199,3.127488001,2.868271101,1.581280547,1.516544266,1.41767526
RogueValley,1990,3.174107143,5.138043659,5.539535118,2.56,3.14,2.88,1.41,1.53,1.42
RogueValley,1995,3.174107143,5.138043659,5.539535118,2.56,3.14,2.88,1.41,1.53,1.42
RogueValley,2000,3.174107143,5.138043659,5.539535118,2.56,3.14,2.88,1.41,1.53,1.42
RogueValley,2005,3.174107143,5.138043659,5.539535118,2.56,3.14,2.88,1.41,1.53,1.42
RogueValley,2010,3.174107143,5.138043659,5.539535118,2.56,3.14,2.88,1.41,1.53,1.42
RogueValley,2015,3.273059656,5.172179592,5.552182407,2.591948167,3.138341,2.883830333,1.416674,1.527109333,1.420647833
RogueValley,2020,3.372012169,5.206315524,5.564829696,2.623896333,3.136682,2.887660667,1.423348,1.524218667,1.421295667
RogueValley,2025,3.470964683,5.240451457,5.577476985,2.6558445,3.135023,2.891491,1.430022,1.521328,1.4219435
RogueValley,2030,3.569917196,5.274587389,5.590124274,2.687792667,3.133364,2.895321333,1.436696,1.518437333,1.422591333
RogueValley,2035,3.668869709,5.308723322,5.602771563,2.719740833,3.131705,2.899151667,1.44337,1.515546667,1.423239167
RogueValley,2040,3.767822222,5.342859254,5.615418852,2.751689,3.130046,2.902982,1.450044,1.512656,1.423887
RogueValley,2045,3.767822222,5.342859254,5.615418852,2.751689,3.130046,2.902982,1.450044,1.512656,1.423887
RogueValley,2050,3.767822222,5.342859254,5.615418852,2.751689,3.130046,2.902982,1.450044,1.512656,1.423887
SalemKeizer,1990,3.584764268,5.373218196,5.544497652,2.7,3.07,2.85,1.51,1.49,1.41
SalemKeizer,1995,3.584764268,5.373218196,5.544497652,2.7,3.07,2.85,1.51,1.49,1.41
SalemKeizer,2000,3.584764268,5.373218196,5.544497652,2.7,3.07,2.85,1.51,1.49,1.41
SalemKeizer,2005,3.584764268,5.373218196,5.544497652,2.7,3.07,2.85,1.51,1.49,1.41
SalemKeizer,2010,3.584764268,5.373218196,5.544497652,2.7,3.07,2.85,1.51,1.49,1.41
SalemKeizer,2015,3.649749641,5.377567983,5.549032581,2.723423,3.0639206,2.8503906,1.5157472,1.4884646,1.4103496
SalemKeizer,2020,3.714735013,5.381917769,5.553567511,2.746846,3.0578412,2.8507812,1.5214944,1.4869292,1.4106992
SalemKeizer,2025,3.779720386,5.386267556,5.55810244,2.770269,3.0517618,2.8511718,1.5272416,1.4853938,1.4110488
SalemKeizer,2030,3.844705758,5.390617342,5.562637369,2.793692,3.0456824,2.8515624,1.5329888,1.4838584,1.4113984
SalemKeizer,2035,3.909691131,5.394967129,5.567172299,2.817115,3.039603,2.851953,1.538736,1.482323,1.411748
SalemKeizer,2040,3.909691131,5.394967129,5.567172299,2.817115,3.039603,2.851953,1.538736,1.482323,1.411748
SalemKeizer,2045,3.909691131,5.394967129,5.567172299,2.817115,3.039603,2.851953,1.538736,1.482323,1.411748
SalemKeizer,2050,3.909691131,5.394967129,5.567172299,2.817115,3.039603,2.851953,1.538736,1.482323,1.411748
Albany,1990,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
Albany,1995,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
Albany,2000,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
Albany,2005,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
Albany,2010,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
Albany,2015,3.838826366,5.131834739,5.652143998,2.814827167,3.127275333,2.898224833,1.466018833,1.528904,1.419711833
Albany,2020,3.804465918,5.135690876,5.649622175,2.799654333,3.124550667,2.896449667,1.462037667,1.527808,1.419423667
Albany,2025,3.770105471,5.139547012,5.647100352,2.7844815,3.121826,2.8946745,1.4580565,1.526712,1.4191355
Albany,2030,3.735745024,5.143403149,5.644578529,2.769308667,3.119101333,2.892899333,1.454075333,1.525616,1.418847333
Albany,2035,3.701384576,5.147259285,5.642056706,2.754135833,3.116376667,2.891124167,1.450094167,1.52452,1.418559167
Albany,2040,3.667024129,5.151115422,5.639534884,2.738963,3.113652,2.889349,1.446113,1.523424,1.418271
Albany,2045,3.667024129,5.151115422,5.639534884,2.738963,3.113652,2.889349,1.446113,1.523424,1.418271
Albany,2050,3.667024129,5.151115422,5.639534884,2.738963,3.113652,2.889349,1.446113,1.523424,1.418271
GrantsPass,1990,3,5.644159142,5.606219952,2.5,3.19,2.87,1.4,1.51,1.41
GrantsPass,1995,3,5.644159142,5.606219952,2.5,3.19,2.87,1.4,1.51,1.41
GrantsPass,2000,3,5.644159142,5.606219952,2.5,3.19,2.87,1.4,1.51,1.41
GrantsPass,2005,3,5.644159142,5.606219952,2.5,3.19,2.87,1.4,1.51,1.41
GrantsPass,2010,3,5.644159142,5.606219952,2.5,3.19,2.87,1.4,1.51,1.41
GrantsPass,2015,3.556556557,5.03740198,5.548246134,2.680880833,3.183022167,2.875309667,1.427827833,1.507687833,1.411739167
GrantsPass,2020,4.113113113,4.430644817,5.490272316,2.861761667,3.176044333,2.880619333,1.455655667,1.505375667,1.413478333
GrantsPass,2025,4.66966967,3.823887655,5.432298498,3.0426425,3.1690665,2.885929,1.4834835,1.5030635,1.4152175
GrantsPass,2030,5.226226226,3.217130493,5.37432468,3.223523333,3.162088667,2.891238667,1.511311333,1.500751333,1.416956667
GrantsPass,2035,5.782782783,2.61037333,5.316350862,3.404404167,3.155110833,2.896548333,1.539139167,1.498439167,1.418695833
GrantsPass,2040,6.339339339,2.003616168,5.258377044,3.585285,3.148133,2.901858,1.566967,1.496127,1.420435
GrantsPass,2045,6.339339339,2.003616168,5.258377044,3.585285,3.148133,2.901858,1.566967,1.496127,1.420435
GrantsPass,2050,6.339339339,2.003616168,5.258377044,3.585285,3.148133,2.901858,1.566967,1.496127,1.420435
None,1990,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
None,1995,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
None,2000,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
None,2005,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
None,2010,3.873186813,5.127978603,5.65466582,2.83,3.13,2.9,1.47,1.53,1.42
None,2015,3.838826366,5.131834739,5.652143998,2.814827167,3.127275333,2.898224833,1.466018833,1.528904,1.419711833
None,2020,3.804465918,5.135690876,5.649622175,2.799654333,3.124550667,2.896449667,1.462037667,1.527808,1.419423667
None,2025,3.770105471,5.139547012,5.647100352,2.7844815,3.121826,2.8946745,1.4580565,1.526712,1.4191355
None,2030,3.735745024,5.143403149,5.644578529,2.769308667,3.119101333,2.892899333,1.454075333,1.525616,1.418847333
None,2035,3.701384576,5.147259285,5.642056706,2.754135833,3.116376667,2.891124167,1.450094167,1.52452,1.418559167
None,2040,3.667024129,5.151115422,5.639534884,2.738963,3.113652,2.889349,1.446113,1.523424,1.418271
None,2045,3.667024129,5.151115422,5.639534884,2.738963,3.113652,2.889349,1.446113,1.523424,1.418271
None,2050,3.667024129,5.151115422,5.639534884,2.738963,3.113652,2.889349,1.446113,1.523424,1.418271
