Year,Geo,AveVehPerDriver,AveVehPerElderlyDriver
2005,Marion,1.336408557,1.069126846
2005,Morrow,1.563950276,1.251160221
2005,Multnomah,1.092599472,0.874079578
2005,Polk,1.232750549,0.986200439
2005,Sherman,1.660039114,1.328031291
2005,Tillamook,1.398425597,1.118740478
2005,Umatilla,1.412177094,1.129741675
2005,Union,1.329168958,1.063335166
2005,Wallowa,1.430482065,1.144385652
2005,Wasco,1.442534215,1.420643254
2005,Washington,1.191704879,0.953363903
2005,Wheeler,1.545238096,1.236190477
2005,Yamhill,1.295980191,1.036784153
2010,Baker,1.35060652,1.080485216
2010,Benton,1.152191443,0.921753154
2010,Clackamas,1.184972989,0.947978391
2010,Clatsop,1.276676027,1.021340822
2010,Columbia,1.308215205,1.046572164
2010,Coos,1.272957479,1.223839517
2010,Crook,1.362287104,1.089829683
2010,Curry,1.294641543,1.102939331
2010,Deschutes,1.295409851,1.036327881
2010,Douglas,1.297475823,1.037980658
2010,Gilliam,1.572440438,1.25795235
2010,Grant,1.419331227,1.262231773
2010,Harney,1.423254165,1.138603332
2010,Hood River,1.479464285,1.183571428
2010,Jackson,1.224782583,0.979826066
2010,Jefferson,1.435402642,1.148322114
2010,Josephine,1.305118187,1.04409455
2010,Klamath,1.363768517,1.091014814
2010,Lake,1.472749672,1.178199738
2010,Lane,1.213886447,0.971109158
2010,Lincoln,1.272542484,1.136471422
2010,Linn,1.288180458,1.030544366
2010,Malheur,1.441042515,1.152834012
2010,Marion,1.336408557,1.069126846
2010,Morrow,1.563950276,1.251160221
2010,Multnomah,1.092599472,0.874079578
2010,Polk,1.232750549,0.986200439
2010,Sherman,1.660039114,1.328031291
2010,Tillamook,1.398425597,1.118740478
2010,Umatilla,1.412177094,1.129741675
2010,Union,1.329168958,1.146042611
2010,Wallowa,1.430482065,1.144385652
2010,Wasco,1.442534215,1.154027372
2010,Washington,1.191704879,0.953363903
2010,Wheeler,1.545238096,1.236190477
2010,Yamhill,1.295980191,1.095793447
2015,Baker,1.35060652,1.255429988
2015,Benton,1.152191443,0.932430711
2015,Clackamas,1.184972989,1.078031681
2015,Clatsop,1.276676027,1.021340822
2015,Columbia,1.308215205,1.046572164
2015,Coos,1.272957479,1.018365983
2015,Crook,1.362287104,1.089829683
2015,Curry,1.294641543,1.035713234
2015,Deschutes,1.295409851,1.036327881
2015,Douglas,1.297475823,1.037980658
2015,Gilliam,1.572440438,1.25795235
2015,Grant,1.419331227,1.135464982
2015,Harney,1.423254165,1.36385125
2015,Hood River,1.479464285,1.183571428
2015,Jackson,1.224782583,0.979826066
2015,Jefferson,1.435402642,1.148322114
2015,Josephine,1.305118187,1.04409455
2015,Klamath,1.363768517,1.091014814
2015,Lake,1.472749672,1.178199738
2015,Lane,1.213886447,0.971109158
2015,Lincoln,1.272542484,1.018033987
2015,Linn,1.288180458,1.17058044
2015,Malheur,1.441042515,1.409703717
2015,Marion,1.336408557,1.069126846
2015,Morrow,1.563950276,1.429720117
2015,Multnomah,1.092599472,0.91069997
2015,Polk,1.232750549,0.986200439
2015,Sherman,1.660039114,1.328031291
2015,Tillamook,1.398425597,1.118740478
2015,Umatilla,1.412177094,1.129741675
2015,Union,1.329168958,1.063335166
2015,Wallowa,1.430482065,1.144385652
2015,Wasco,1.442534215,1.154027372
2015,Washington,1.191704879,0.953363903
2015,Wheeler,1.545238096,1.236190477
2015,Yamhill,1.295980191,1.036784153
2020,Baker,1.35060652,1.755788476
2020,Benton,1.152191443,1.34534092
2020,Clackamas,1.184972989,1.521546263
2020,Clatsop,1.276676027,1.659678835
2020,Columbia,1.308215205,1.382252488
2020,Coos,1.272957479,1.654844723
2020,Crook,1.362287104,1.770973235
2020,Curry,1.294641543,1.380434123
2020,Deschutes,1.295409851,1.399926191
2020,Douglas,1.297475823,1.409725901
2020,Gilliam,1.572440438,2.044172569
2020,Grant,1.419331227,1.615004763
2020,Harney,1.423254165,1.850230415
2020,Hood River,1.479464285,1.879595284
2020,Jackson,1.224782583,1.301215657
2020,Jefferson,1.435402642,1.674714546
2020,Josephine,1.305118187,1.696653643
2020,Klamath,1.363768517,1.549718562
2020,Lake,1.472749672,1.914574574
2020,Lane,1.213886447,1.578052381
2020,Lincoln,1.272542484,1.654305229
2020,Linn,1.288180458,1.674634595
2020,Malheur,1.441042515,1.87335527
2020,Marion,1.336408557,1.737331124
2020,Morrow,1.563950276,2.033135359
2020,Multnomah,1.092599472,1.420379314
2020,Polk,1.232750549,1.260208803
2020,Sherman,1.660039114,2.050429017
2020,Tillamook,1.398425597,1.761145908
2020,Umatilla,1.412177094,1.835830222
2020,Union,1.329168958,1.727919645
2020,Wallowa,1.430482065,1.859626685
2020,Wasco,1.442534215,1.87529448
2020,Washington,1.191704879,1.549216343
2020,Wheeler,1.545238096,2.008809525
2020,Yamhill,1.295980191,1.684774248
2025,Baker,1.35060652,1.437863412
2025,Benton,1.152191443,1.158345669
2025,Clackamas,1.184972989,1.268846123
2025,Clatsop,1.276676027,1.537333766
2025,Columbia,1.308215205,1.700679767
2025,Coos,1.272957479,1.423979879
2025,Crook,1.362287104,1.613260247
2025,Curry,1.294641543,1.683034006
2025,Deschutes,1.295409851,1.684032806
2025,Douglas,1.297475823,1.68671857
2025,Gilliam,1.572440438,1.846291591
2025,Grant,1.419331227,1.845130595
2025,Harney,1.423254165,1.850230415
2025,Hood River,1.479464285,1.923303571
2025,Jackson,1.224782583,1.592217358
2025,Jefferson,1.435402642,1.848935538
2025,Josephine,1.305118187,1.696653643
2025,Klamath,1.363768517,1.772899072
2025,Lake,1.472749672,1.55432562
2025,Lane,1.213886447,1.578052381
2025,Lincoln,1.272542484,1.654305229
2025,Linn,1.288180458,1.674634595
2025,Malheur,1.441042515,1.87335527
2025,Marion,1.336408557,1.737331124
2025,Morrow,1.563950276,2.033135359
2025,Multnomah,1.092599472,1.420379314
2025,Polk,1.232750549,1.602575714
2025,Sherman,1.660039114,2.158050848
2025,Tillamook,1.398425597,1.817953276
2025,Umatilla,1.412177094,1.835830222
2025,Union,1.329168958,1.727919645
2025,Wallowa,1.430482065,1.859626685
2025,Wasco,1.442534215,1.87529448
2025,Washington,1.191704879,1.541502333
2025,Wheeler,1.545238096,2.008809525
2025,Yamhill,1.295980191,1.550380121
2030,Baker,1.35060652,1.755788476
2030,Benton,1.152191443,1.395637051
2030,Clackamas,1.184972989,1.540464886
2030,Clatsop,1.276676027,1.598284614
2030,Columbia,1.308215205,1.420617804
2030,Coos,1.272957479,1.654844723
2030,Crook,1.362287104,1.560421675
2030,Curry,1.294641543,1.413232109
2030,Deschutes,1.295409851,1.684032806
2030,Douglas,1.297475823,1.446268489
2030,Gilliam,1.572440438,2.044172569
2030,Grant,1.419331227,1.845130595
2030,Harney,1.423254165,1.850230415
2030,Hood River,1.479464285,1.923303571
2030,Jackson,1.224782583,1.469223198
2030,Jefferson,1.435402642,1.866023435
2030,Josephine,1.305118187,1.696653643
2030,Klamath,1.363768517,1.544813488
2030,Lake,1.472749672,1.914574574
2030,Lane,1.213886447,1.578052381
2030,Lincoln,1.272542484,1.654305229
2030,Linn,1.288180458,1.551554067
2030,Malheur,1.441042515,1.87335527
2030,Marion,1.336408557,1.674813169
2030,Morrow,1.563950276,2.033135359
2030,Multnomah,1.092599472,1.420379314
2030,Polk,1.232750549,1.602575714
2030,Sherman,1.660039114,1.803339656
2030,Tillamook,1.398425597,1.817953276
2030,Umatilla,1.412177094,1.767773467
2030,Union,1.329168958,1.727919645
2030,Wallowa,1.430482065,1.751429103
2030,Wasco,1.442534215,1.87529448
2030,Washington,1.191704879,1.549216343
2030,Wheeler,1.545238096,2.008809525
2030,Yamhill,1.295980191,1.684774248
2035,Baker,1.35060652,1.755788476
2035,Benton,1.152191443,1.497848876
2035,Clackamas,1.184972989,1.540464886
2035,Clatsop,1.276676027,1.659678835
2035,Columbia,1.308215205,1.668787417
2035,Coos,1.272957479,1.355824887
2035,Crook,1.362287104,1.770973235
2035,Curry,1.294641543,1.51780608
2035,Deschutes,1.295409851,1.684032806
2035,Douglas,1.297475823,1.68671857
2035,Gilliam,1.572440438,2.044172569
2035,Grant,1.419331227,1.552061131
2035,Harney,1.423254165,1.454158207
2035,Hood River,1.479464285,1.923303571
2035,Jackson,1.224782583,1.469982874
2035,Jefferson,1.435402642,1.866023435
2035,Josephine,1.305118187,1.582030587
2035,Klamath,1.363768517,1.581400733
2035,Lake,1.472749672,1.914574574
2035,Lane,1.213886447,1.548288455
2035,Lincoln,1.272542484,1.654305229
2035,Linn,1.288180458,1.674634595
2035,Malheur,1.441042515,1.87335527
2035,Marion,1.336408557,1.548599293
2035,Morrow,1.563950276,2.033135359
2035,Multnomah,1.092599472,1.378277814
2035,Polk,1.232750549,1.602575714
2035,Sherman,1.660039114,2.158050848
2035,Tillamook,1.398425597,1.553034119
2035,Umatilla,1.412177094,1.835830222
2035,Union,1.329168958,1.727919645
2035,Wallowa,1.430482065,1.859626685
2035,Wasco,1.442534215,1.87529448
2035,Washington,1.191704879,1.470871584
2035,Wheeler,1.545238096,2.008809525
2035,Yamhill,1.295980191,1.494980059
2040,Baker,1.35060652,1.755788476
2040,Benton,1.152191443,1.497848876
2040,Clackamas,1.184972989,1.540464886
2040,Clatsop,1.276676027,1.659678835
2040,Columbia,1.308215205,1.688406437
2040,Coos,1.272957479,1.44445461
2040,Crook,1.362287104,1.770973235
2040,Curry,1.294641543,1.683034006
2040,Deschutes,1.295409851,1.684032806
2040,Douglas,1.297475823,1.512387529
2040,Gilliam,1.572440438,2.044172569
2040,Grant,1.419331227,1.845130595
2040,Harney,1.423254165,1.850230415
2040,Hood River,1.479464285,1.923303571
2040,Jackson,1.224782583,1.592217358
2040,Jefferson,1.435402642,1.866023435
2040,Josephine,1.305118187,1.696653643
2040,Klamath,1.363768517,1.772899072
2040,Lake,1.472749672,1.782041792
2040,Lane,1.213886447,1.578052381
2040,Lincoln,1.272542484,1.457646189
2040,Linn,1.288180458,1.674634595
2040,Malheur,1.441042515,1.457442153
2040,Marion,1.336408557,1.737331124
2040,Morrow,1.563950276,2.033135359
2040,Multnomah,1.092599472,1.193872094
2040,Polk,1.232750549,1.262237167
2040,Sherman,1.660039114,1.725158851
2040,Tillamook,1.398425597,1.817953276
2040,Umatilla,1.412177094,1.433803216
2040,Union,1.329168958,1.727919645
2040,Wallowa,1.430482065,1.516062455
2040,Wasco,1.442534215,1.87529448
2040,Washington,1.191704879,1.515086362
2040,Wheeler,1.545238096,1.86700431
2040,Yamhill,1.295980191,1.684774248
2045,Baker,1.35060652,1.755788476
2045,Benton,1.152191443,1.497848876
2045,Clackamas,1.184972989,1.540464886
2045,Clatsop,1.276676027,1.659678835
2045,Columbia,1.308215205,1.421875105
2045,Coos,1.272957479,1.654844723
2045,Crook,1.362287104,1.770973235
2045,Curry,1.294641543,1.683034006
2045,Deschutes,1.295409851,1.684032806
2045,Douglas,1.297475823,1.68671857
2045,Gilliam,1.572440438,2.044172569
2045,Grant,1.419331227,1.845130595
2045,Harney,1.423254165,1.601644858
2045,Hood River,1.479464285,1.797323049
2045,Jackson,1.224782583,1.592217358
2045,Jefferson,1.435402642,1.866023435
2045,Josephine,1.305118187,1.389634621
2045,Klamath,1.363768517,1.772899072
2045,Lake,1.472749672,1.914574574
2045,Lane,1.213886447,1.41982312
2045,Lincoln,1.272542484,1.610001498
2045,Linn,1.288180458,1.674634595
2045,Malheur,1.441042515,1.87335527
2045,Marion,1.336408557,1.737331124
2045,Morrow,1.563950276,2.033135359
2045,Multnomah,1.092599472,1.420379314
2045,Polk,1.232750549,1.602575714
2045,Sherman,1.660039114,2.158050848
2045,Tillamook,1.398425597,1.817953276
2045,Umatilla,1.412177094,1.835830222
2045,Union,1.329168958,1.401443582
2045,Wallowa,1.430482065,1.859626685
2045,Wasco,1.442534215,1.561741237
2045,Washington,1.191704879,1.549216343
2045,Wheeler,1.545238096,2.008809525
2045,Yamhill,1.295980191,1.684774248
2050,Baker,1.35060652,1.755788476
2050,Benton,1.152191443,1.497848876
2050,Clackamas,1.184972989,1.453346514
2050,Clatsop,1.276676027,1.659678835
2050,Columbia,1.308215205,1.700679767
2050,Coos,1.272957479,1.654844723
2050,Crook,1.362287104,1.770973235
2050,Curry,1.294641543,1.683034006
2050,Deschutes,1.295409851,1.684032806
2050,Douglas,1.297475823,1.532250954
2050,Gilliam,1.572440438,2.00847627
2050,Grant,1.419331227,1.648060118
2050,Harney,1.423254165,1.850230415
2050,Hood River,1.479464285,1.923303571
2050,Jackson,1.224782583,1.592217358
2050,Jefferson,1.435402642,1.592752696
2050,Josephine,1.305118187,1.696653643
2050,Klamath,1.363768517,1.772899072
2050,Lake,1.472749672,1.914574574
2050,Lane,1.213886447,1.578052381
2050,Lincoln,1.272542484,1.618905144
2050,Linn,1.288180458,1.661705424
2050,Malheur,1.441042515,1.87335527
2050,Marion,1.336408557,1.737331124
2050,Morrow,1.563950276,1.626289931
2050,Multnomah,1.092599472,1.148342311
2050,Polk,1.232750549,1.602575714
2050,Sherman,1.660039114,2.06182691
2050,Tillamook,1.398425597,1.452719546
2050,Umatilla,1.412177094,1.760668965
2050,Union,1.329168958,1.727919645
2050,Wallowa,1.430482065,1.859626685
2050,Wasco,1.442534215,1.539981477
2050,Washington,1.191704879,1.549216343
2050,Wheeler,1.545238096,2.008809525
2050,Yamhill,1.295980191,1.425372422
