Year,Geo,AveVehPerDriver,AveVehPerElderlyDriver
1990,Baker,1.35060652,1.080485216
1990,Benton,1.152191443,0.921753154
1990,Clackamas,1.184972989,0.958768649
1990,Clatsop,1.276676027,1.021340822
1990,Columbia,1.308215205,1.046572164
1990,Coos,1.272957479,1.018365983
1990,Crook,1.362287104,1.089829683
1990,Curry,1.294641543,1.035713234
1990,Deschutes,1.295409851,1.036327881
1990,Douglas,1.297475823,1.037980658
1990,Gilliam,1.572440438,1.25795235
1990,Grant,1.419331227,1.135464982
1990,Harney,1.423254165,1.138603332
1990,Hood River,1.479464285,1.28366966
1990,Jackson,1.224782583,0.979826066
1990,Jefferson,1.435402642,1.148322114
1990,Josephine,1.305118187,1.04409455
1990,Klamath,1.363768517,1.091014814
1990,Lake,1.472749672,1.178199738
1990,Lane,1.213886447,0.971109158
1990,Lincoln,1.272542484,1.018033987
1990,Linn,1.288180458,1.030544366
1990,Malheur,1.441042515,1.152834012
1990,Marion,1.336408557,1.069126846
1990,Morrow,1.563950276,1.251160221
1990,Multnomah,1.092599472,0.874079578
1990,Polk,1.232750549,0.986200439
1990,Sherman,1.660039114,1.328031291
1990,Tillamook,1.398425597,1.118740478
1990,Umatilla,1.412177094,1.288188898
1990,Union,1.329168958,1.063335166
1990,Wallowa,1.430482065,1.144385652
1990,Wasco,1.442534215,1.154027372
1990,Washington,1.191704879,0.953363903
1990,Wheeler,1.545238096,1.236190477
1990,Yamhill,1.295980191,1.036784153
1995,Baker,1.35060652,1.080485216
1995,Benton,1.152191443,0.921753154
1995,Clackamas,1.184972989,0.947978391
1995,Clatsop,1.276676027,1.021340822
1995,Columbia,1.308215205,1.046572164
1995,Coos,1.272957479,1.132086649
1995,Crook,1.362287104,1.089829683
1995,Curry,1.294641543,1.035713234
1995,Deschutes,1.295409851,1.036327881
1995,Douglas,1.297475823,1.037980658
1995,Gilliam,1.572440438,1.25795235
1995,Grant,1.419331227,1.135464982
1995,Harney,1.423254165,1.138603332
1995,Hood River,1.479464285,1.300247877
1995,Jackson,1.224782583,0.979826066
1995,Jefferson,1.435402642,1.148322114
1995,Josephine,1.305118187,1.04409455
1995,Klamath,1.363768517,1.091014814
1995,Lake,1.472749672,1.178199738
1995,Lane,1.213886447,0.971109158
1995,Lincoln,1.272542484,1.018033987
1995,Linn,1.288180458,1.12720973
1995,Malheur,1.441042515,1.152834012
1995,Marion,1.336408557,1.099330948
1995,Morrow,1.563950276,1.251160221
1995,Multnomah,1.092599472,0.874079578
1995,Polk,1.232750549,0.986200439
1995,Sherman,1.660039114,1.350091655
1995,Tillamook,1.398425597,1.118740478
1995,Umatilla,1.412177094,1.129741675
1995,Union,1.329168958,1.063335166
1995,Wallowa,1.430482065,1.144385652
1995,Wasco,1.442534215,1.154027372
1995,Washington,1.191704879,1.132272618
1995,Wheeler,1.545238096,1.24863498
1995,Yamhill,1.295980191,1.08675492
2000,Baker,1.35060652,1.080485216
2000,Benton,1.152191443,0.921753154
2000,Clackamas,1.184972989,0.947978391
2000,Clatsop,1.276676027,1.021340822
2000,Columbia,1.308215205,1.046572164
2000,Coos,1.272957479,1.018365983
2000,Crook,1.362287104,1.089829683
2000,Curry,1.294641543,1.035713234
2000,Deschutes,1.295409851,1.270351554
2000,Douglas,1.297475823,1.120441933
2000,Gilliam,1.572440438,1.25795235
2000,Grant,1.419331227,1.135464982
2000,Harney,1.423254165,1.138603332
2000,Hood River,1.479464285,1.183571428
2000,Jackson,1.224782583,0.979826066
2000,Jefferson,1.435402642,1.148322114
2000,Josephine,1.305118187,1.04409455
2000,Klamath,1.363768517,1.091014814
2000,Lake,1.472749672,1.178199738
2000,Lane,1.213886447,0.971109158
2000,Lincoln,1.272542484,1.018033987
2000,Linn,1.288180458,1.030544366
2000,Malheur,1.441042515,1.152834012
2000,Marion,1.336408557,1.069126846
2000,Morrow,1.563950276,1.251160221
2000,Multnomah,1.092599472,0.874079578
2000,Polk,1.232750549,0.986200439
2000,Sherman,1.660039114,1.328031291
2000,Tillamook,1.398425597,1.118740478
2000,Umatilla,1.412177094,1.129741675
2000,Union,1.329168958,1.063335166
2000,Wallowa,1.430482065,1.144385652
2000,Wasco,1.442534215,1.20690453
2000,Washington,1.191704879,0.953363903
2000,Wheeler,1.545238096,1.236190477
2000,Yamhill,1.295980191,1.036784153
2005,Baker,1.35060652,1.080485216
2005,Benton,1.152191443,0.921753154
2005,Clackamas,1.184972989,0.947978391
2005,Clatsop,1.276676027,1.021340822
2005,Columbia,1.308215205,1.046572164
2005,Coos,1.272957479,1.018365983
2005,Crook,1.362287104,1.090269674
2005,Curry,1.294641543,1.035713234
2005,Deschutes,1.295409851,1.273825251
2005,Douglas,1.297475823,1.037980658
2005,Gilliam,1.572440438,1.25795235
2005,Grant,1.419331227,1.135464982
2005,Harney,1.423254165,1.138603332
2005,Hood River,1.479464285,1.183571428
2005,Jackson,1.224782583,0.979826066
2005,Jefferson,1.435402642,1.148322114
2005,Josephine,1.305118187,1.04409455
2005,Klamath,1.363768517,1.091014814
2005,Lake,1.472749672,1.178199738
2005,Lane,1.213886447,0.971109158
2005,Lincoln,1.272542484,1.018033987
2005,Linn,1.288180458,1.030544366
2005,Malheur,1.441042515,1.412504952
