Geo,Year,HHIncomePC.2005,GQIncomePC.2005
Columbia,2050,42027,0
Coos,2050,40074,0
Crook,2050,36727,0
Curry,2050,40772,0
Deschutes,2050,46722,0
Douglas,2050,38633,0
Gilliam,2050,44258,0
Grant,2050,37843,0
Harney,2050,36402,0
Hood River,2050,43515,0
Jackson,2050,43887,0
Jefferson,2050,34589,0
Josephine,2050,37564,0
Klamath,2050,37146,0
Lake,2050,37982,0
Lane,2050,42910,0
Lincoln,2050,42910,0
Linn,2050,37238,0
Malheur,2050,31102,0
Marion,2050,42492,0
Morrow,2050,44909,0
Multnomah,2050,51185,0
Polk,2050,39609,0
Sherman,2050,61460,0
Tillamook,2050,42166,0
Umatilla,2050,38075,0
Union,2050,39702,0
Wallowa,2050,42585,0
Wasco,2050,41980,0
Washington,2050,52069,0
Wheeler,2050,33938,0
Yamhill,2050,42027,0
