Geo,Year,HHIncomePC.2005,GQIncomePC.2005
Baker,1990,19766,0
Benton,1990,23378,0
Clackamas,1990,28623,0
Clatsop,1990,23675,0
Columbia,1990,22364,0
Coos,1990,21177,0
Crook,1990,19865,0
Curry,1990,21894,0
Deschutes,1990,24962,0
Douglas,1990,20707,0
Gilliam,1990,21078,0
Grant,1990,20657,0
Harney,1990,19915,0
Hood River,1990,22166,0
Jackson,1990,22512,0
Jefferson,1990,19544,0
Josephine,1990,20286,0
Klamath,1990,20014,0
Lake,1990,21647,0
Lane,1990,22735,0
Lincoln,1990,21919,0
Linn,1990,21053,0
Malheur,1990,20187,0
Marion,1990,23329,0
Morrow,1990,22117,0
Multnomah,1990,28400,0
Polk,1990,21325,0
Sherman,1990,24739,0
Tillamook,1990,20261,0
Umatilla,1990,20187,0
Union,1990,20434,0
Wallowa,1990,21572,0
Wasco,1990,22809,0
Washington,1990,28623,0
Wheeler,1990,18084,0
Yamhill,1990,22117,0
Baker,1995,20871,0
Benton,1995,27556,0
Clackamas,1995,32576,0
Clatsop,1995,24882,0
Columbia,1995,25428,0
Coos,1995,22918,0
Crook,1995,21172,0
Curry,1995,23845,0
Deschutes,1995,27010,0
Douglas,1995,22345,0
Gilliam,1995,24609,0
Grant,1995,22345,0
Harney,1995,20899,0
Hood River,1995,24009,0
Jackson,1995,24855,0
Jefferson,1995,20408,0
Josephine,1995,21854,0
Klamath,1995,22127,0
Lake,1995,22127,0
Lane,1995,25346,0
Lincoln,1995,24064,0
Linn,1995,23491,0
Malheur,1995,20571,0
Marion,1995,25400,0
Morrow,1995,19698,0
Multnomah,1995,30830,0
Polk,1995,23463,0
Sherman,1995,21117,0
Tillamook,1995,22481,0
Umatilla,1995,22099,0
Union,1995,22427,0
Wallowa,1995,22372,0
Wasco,1995,23873,0
Washington,1995,31757,0
Wheeler,1995,18853,0
Yamhill,1995,24718,0
Baker,2000,23472,0
Benton,2000,32778,0
Clackamas,2000,40941,0
Clatsop,2000,27919,0
Columbia,2000,29570,0
Coos,2000,25060,0
Crook,2000,23663,0
Curry,2000,27474,0
Deschutes,2000,30936,0
Douglas,2000,25695,0
Gilliam,2000,22742,0
Grant,2000,23917,0
Harney,2000,23377,0
Hood River,2000,25727,0
Jackson,2000,28681,0
Jefferson,2000,23059,0
Josephine,2000,25124,0
Klamath,2000,24139,0
Lake,2000,24870,0
Lane,2000,29062,0
Lincoln,2000,28236,0
Linn,2000,25759,0
Malheur,2000,21979,0
Marion,2000,27855,0
Morrow,2000,23504,0
Multnomah,2000,36304,0
Polk,2000,27601,0
Sherman,2000,24330,0
Tillamook,2000,27093,0
Umatilla,2000,24489,0
Union,2000,26204,0
Wallowa,2000,25346,0
Wasco,2000,27061,0
Washington,2000,37034,0
Wheeler,2000,22043,0
Yamhill,2000,27093,0
Baker,2005,24802,0
Benton,2005,33815,0
Clackamas,2005,40461,0
Clatsop,2005,29341,0
Columbia,2005,29211,0
Coos,2005,26845,0
Crook,2005,25288,0
Curry,2005,27785,0
Deschutes,2005,33167,0
Douglas,2005,27169,0
Gilliam,2005,27169,0
Grant,2005,25775,0
Harney,2005,25256,0
Hood River,2005,27525,0
Jackson,2005,31675,0
Jefferson,2005,23278,0
Josephine,2005,26326,0
Klamath,2005,26196,0
Lake,2005,25775,0
Lane,2005,30249,0
Lincoln,2005,29860,0
Linn,2005,26456,0
Malheur,2005,20652,0
Marion,2005,28920,0
Morrow,2005,26845,0
Multnomah,2005,36409,0
Polk,2005,27363,0
Sherman,2005,27817,0
Tillamook,2005,28822,0
Umatilla,2005,24608,0
Union,2005,26877,0
Wallowa,2005,28498,0
Wasco,2005,27039,0
Washington,2005,35955,0
Wheeler,2005,26682,0
Yamhill,2005,30378,0
Baker,2010,26101,0
Benton,2010,32272,0
Clackamas,2010,38506,0
Clatsop,2010,29313,0
Columbia,2010,28525,0
Coos,2010,27518,0
Crook,2010,25062,0
Curry,2010,27392,0
Deschutes,2010,31202,0
Douglas,2010,26447,0
Gilliam,2010,32839,0
Grant,2010,25975,0
Harney,2010,25031,0
Hood River,2010,29533,0
Jackson,2010,29533,0
Jefferson,2010,23771,0
Josephine,2010,25692,0
Klamath,2010,25408,0
Lake,2010,25881,0
Lane,2010,29092,0
Lincoln,2010,28966,0
Linn,2010,25503,0
Malheur,2010,21378,0
Marion,2010,29092,0
Morrow,2010,31674,0
Multnomah,2010,34571,0
Polk,2010,27172,0
Sherman,2010,45685,0
Tillamook,2010,29155,0
Umatilla,2010,26384,0
Union,2010,26794,0
Wallowa,2010,28935,0
Wasco,2010,28683,0
Washington,2010,35263,0
Wheeler,2010,22795,0
Yamhill,2010,28399,0
Baker,2015,27283,0
Benton,2015,34424,0
Clackamas,2015,41868,0
Clatsop,2015,31157,0
Columbia,2015,30449,0
Coos,2015,29035,0
Crook,2015,26610,0
Curry,2015,29540,0
Deschutes,2015,33851,0
Douglas,2015,27991,0
Gilliam,2015,32066,0
Grant,2015,27418,0
Harney,2015,26374,0
Hood River,2015,31527,0
Jackson,2015,31797,0
Jefferson,2015,25060,0
Josephine,2015,27216,0
Klamath,2015,26913,0
Lake,2015,27519,0
Lane,2015,31089,0
Lincoln,2015,31089,0
Linn,2015,26980,0
Malheur,2015,22534,0
Marion,2015,30786,0
Morrow,2015,32538,0
Multnomah,2015,37085,0
Polk,2015,28698,0
Sherman,2015,44529,0
Tillamook,2015,30550,0
Umatilla,2015,27586,0
Union,2015,28765,0
Wallowa,2015,30854,0
Wasco,2015,30416,0
Washington,2015,37725,0
Wheeler,2015,24589,0
Yamhill,2015,30449,0
Baker,2020,28569,0
Benton,2020,36046,0
Clackamas,2020,43841,0
Clatsop,2020,32625,0
Columbia,2020,31884,0
Coos,2020,30403,0
Crook,2020,27863,0
Curry,2020,30932,0
Deschutes,2020,35446,0
Douglas,2020,29309,0
Gilliam,2020,33577,0
Grant,2020,28710,0
Harney,2020,27616,0
Hood River,2020,33013,0
Jackson,2020,33295,0
Jefferson,2020,26241,0
Josephine,2020,28498,0
Klamath,2020,28181,0
Lake,2020,28816,0
Lane,2020,32554,0
Lincoln,2020,32554,0
Linn,2020,28251,0
Malheur,2020,23596,0
Marion,2020,32237,0
Morrow,2020,34071,0
Multnomah,2020,38832,0
Polk,2020,30050,0
Sherman,2020,46627,0
Tillamook,2020,31990,0
Umatilla,2020,28886,0
Union,2020,30121,0
Wallowa,2020,32307,0
Wasco,2020,31849,0
Washington,2020,39502,0
Wheeler,2020,25747,0
Yamhill,2020,31884,0
Baker,2025,29914,0
Benton,2025,37743,0
Clackamas,2025,45905,0
Clatsop,2025,34161,0
Columbia,2025,33386,0
Coos,2025,31835,0
Crook,2025,29175,0
Curry,2025,32388,0
Deschutes,2025,37116,0
Douglas,2025,30690,0
Gilliam,2025,35158,0
Grant,2025,30062,0
Harney,2025,28917,0
Hood River,2025,34567,0
Jackson,2025,34863,0
Jefferson,2025,27477,0
Josephine,2025,29840,0
Klamath,2025,29508,0
Lake,2025,30173,0
Lane,2025,34087,0
Lincoln,2025,34087,0
Linn,2025,29582,0
Malheur,2025,24707,0
Marion,2025,33755,0
Morrow,2025,35675,0
Multnomah,2025,40661,0
Polk,2025,31465,0
Sherman,2025,48823,0
Tillamook,2025,33496,0
Umatilla,2025,30246,0
Union,2025,31539,0
Wallowa,2025,33829,0
Wasco,2025,33349,0
Washington,2025,41363,0
Wheeler,2025,26960,0
Yamhill,2025,33386,0
Baker,2030,31324,0
Benton,2030,39522,0
Clackamas,2030,48068,0
Clatsop,2030,35771,0
Columbia,2030,34959,0
Coos,2030,33334,0
Crook,2030,30550,0
Curry,2030,33914,0
Deschutes,2030,38864,0
Douglas,2030,32136,0
Gilliam,2030,36815,0
Grant,2030,31478,0
Harney,2030,30279,0
Hood River,2030,36196,0
Jackson,2030,36505,0
Jefferson,2030,28771,0
Josephine,2030,31246,0
Klamath,2030,30898,0
Lake,2030,31594,0
Lane,2030,35693,0
Lincoln,2030,35693,0
Linn,2030,30975,0
Malheur,2030,25871,0
Marion,2030,35345,0
Morrow,2030,37356,0
Multnomah,2030,42577,0
Polk,2030,32948,0
Sherman,2030,51123,0
Tillamook,2030,35075,0
Umatilla,2030,31672,0
Union,2030,33025,0
Wallowa,2030,35423,0
Wasco,2030,34920,0
Washington,2030,43312,0
Wheeler,2030,28230,0
Yamhill,2030,34959,0
Baker,2035,32799,0
Benton,2035,41384,0
Clackamas,2035,50333,0
Clatsop,2035,37456,0
Columbia,2035,36606,0
Coos,2035,34905,0
Crook,2035,31989,0
Curry,2035,35512,0
Deschutes,2035,40695,0
Douglas,2035,33650,0
Gilliam,2035,38549,0
Grant,2035,32961,0
Harney,2035,31706,0
Hood River,2035,37901,0
Jackson,2035,38225,0
Jefferson,2035,30127,0
Josephine,2035,32718,0
Klamath,2035,32354,0
Lake,2035,33083,0
Lane,2035,37375,0
Lincoln,2035,37375,0
Linn,2035,32435,0
Malheur,2035,27090,0
Marion,2035,37011,0
Morrow,2035,39116,0
Multnomah,2035,44583,0
Polk,2035,34500,0
Sherman,2035,53532,0
Tillamook,2035,36727,0
Umatilla,2035,33164,0
Union,2035,34581,0
Wallowa,2035,37092,0
Wasco,2035,36565,0
Washington,2035,45352,0
Wheeler,2035,29560,0
Yamhill,2035,36606,0
Baker,2040,34345,0
Benton,2040,43334,0
Clackamas,2040,52704,0
Clatsop,2040,39221,0
Columbia,2040,38331,0
Coos,2040,36550,0
Crook,2040,33497,0
Curry,2040,37186,0
Deschutes,2040,42613,0
Douglas,2040,35235,0
Gilliam,2040,40366,0
Grant,2040,34514,0
Harney,2040,33200,0
Hood River,2040,39687,0
Jackson,2040,40027,0
Jefferson,2040,31546,0
Josephine,2040,34260,0
Klamath,2040,33878,0
Lake,2040,34642,0
Lane,2040,39136,0
Lincoln,2040,39136,0
Linn,2040,33963,0
Malheur,2040,28366,0
Marion,2040,38755,0
Morrow,2040,40959,0
Multnomah,2040,46684,0
Polk,2040,36126,0
Sherman,2040,56054,0
Tillamook,2040,38458,0
Umatilla,2040,34726,0
Union,2040,36210,0
Wallowa,2040,38839,0
Wasco,2040,38288,0
Washington,2040,47489,0
Wheeler,2040,30953,0
Yamhill,2040,38331,0
Baker,2045,35962,0
Benton,2045,45375,0
Clackamas,2045,55187,0
Clatsop,2045,41068,0
Columbia,2045,40136,0
Coos,2045,38271,0
Crook,2045,35074,0
Curry,2045,38937,0
Deschutes,2045,44620,0
Douglas,2045,36895,0
Gilliam,2045,42267,0
Grant,2045,36140,0
Harney,2045,34764,0
Hood River,2045,41557,0
Jackson,2045,41912,0
Jefferson,2045,33032,0
Josephine,2045,35874,0
Klamath,2045,35474,0
Lake,2045,36273,0
Lane,2045,40979,0
Lincoln,2045,40979,0
Linn,2045,35563,0
Malheur,2045,29702,0
Marion,2045,40580,0
Morrow,2045,42888,0
Multnomah,2045,48882,0
Polk,2045,37827,0
Sherman,2045,58694,0
Tillamook,2045,40269,0
Umatilla,2045,36362,0
Union,2045,37916,0
Wallowa,2045,40669,0
Wasco,2045,40091,0
Washington,2045,49726,0
Wheeler,2045,32411,0
Yamhill,2045,40136,0
Baker,2050,37657,0
Benton,2050,47513,0
Clackamas,2050,57787,0
Clatsop,2050,43003,0
