Year,ComSvcAutoPropIcev,ComSvcAutoPropHev,ComSvcAutoPropBev,ComSvcLtTrkPropIcev,ComSvcLtTrkPropHev,ComSvcLtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,0.988,0.012,0,1,0,0
2010,0.944,0.056,0,0.995,0.005,0
2015,0.935,0.06,0.005,0.992,0.008,0
2020,0.656041257,0.269185103,0.07477364,0.958874498,0.03738682,0.003738682
2025,0.510232659,0.299094559,0.190672781,0.92522636,0.044864184,0.029909456
2030,0.32329856,0.314049287,0.362652153,0.876623494,0.048602866,0.07477364
2035,0.106455004,0.325265333,0.568279662,0.828020628,0.059818912,0.11216046
2040,0,0.214876782,0.785123218,0.790633809,0.063557594,0.145808598
2045,0,0.016726637,0.983273363,0.760724353,0.067296276,0.171979372
2050,0,0,1,0.742030943,0.067296276,0.190672781
