Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
Albany,1990,0,0,0,0
Albany,1995,0,0,0,0
Albany,2000,0,0,0,0
Albany,2005,0,0,0.001950954,0
Albany,2010,0,0,0.013075491,0
Albany,2015,0,0,0.023693475,0
Albany,2020,0,0,0.038029223,0
Albany,2025,0.172571429,0,0.066260307,0
Albany,2030,0.341142857,0,0.102984358,0
Albany,2035,0.455428571,0,0.141464704,0
Albany,2040,0.497714286,0,0.179553089,0
Albany,2045,0.509714286,0,0.212061417,0
Albany,2050,0.513142857,0,0.239495056,0
Bend,1990,0,0,0,0
Bend,1995,0,0,0,0
Bend,2000,0,0,0,0
Bend,2005,0,0,0.001950954,0
Bend,2010,0,0,0.013075491,0
Bend,2015,0,0,0.023693475,0
Bend,2020,0,0,0.038029223,0
Bend,2025,0.172571429,0,0.066260307,0
Bend,2030,0.341142857,0,0.102984358,0
Bend,2035,0.455428571,0,0.141464704,0
Bend,2040,0.497714286,0,0.179553089,0
Bend,2045,0.509714286,0,0.212061417,0
Bend,2050,0.513142857,0,0.239495056,0
Corvallis,1990,0,0,0,0
Corvallis,1995,0,0,0,0
Corvallis,2000,0,0,0,0
Corvallis,2005,0,0,0.001950954,0
Corvallis,2010,0,0,0.013075491,0
Corvallis,2015,0,0,0.023693475,0
Corvallis,2020,0,0,0.038029223,0
Corvallis,2025,0.172571429,0,0.066260307,0
Corvallis,2030,0.341142857,0,0.102984358,0
Corvallis,2035,0.455428571,0,0.141464704,0
Corvallis,2040,0.497714286,0,0.179553089,0
Corvallis,2045,0.509714286,0,0.212061417,0
Corvallis,2050,0.513142857,0,0.239495056,0
EugeneSpringfield,1990,0,0,0,0
EugeneSpringfield,1995,0,0,0,0
EugeneSpringfield,2000,0,0,0,0
EugeneSpringfield,2005,0,0,0.001950954,0
EugeneSpringfield,2010,0,0,0.013075491,0
EugeneSpringfield,2015,0,0,0.023693475,0
EugeneSpringfield,2020,0,0,0.038029223,0
EugeneSpringfield,2025,0.172571429,0,0.066260307,0
EugeneSpringfield,2030,0.341142857,0,0.102984358,0
EugeneSpringfield,2035,0.455428571,0,0.141464704,0
EugeneSpringfield,2040,0.497714286,0,0.179553089,0
EugeneSpringfield,2045,0.509714286,0,0.212061417,0
EugeneSpringfield,2050,0.513142857,0,0.239495056,0
GrantsPass,1990,0,0,0,0
GrantsPass,1995,0,0,0,0
GrantsPass,2000,0,0,0,0
GrantsPass,2005,0,0,0.001950954,0
GrantsPass,2010,0,0,0.013075491,0
GrantsPass,2015,0,0,0.023693475,0
GrantsPass,2020,0,0,0.038029223,0
GrantsPass,2025,0.172571429,0,0.066260307,0
GrantsPass,2030,0.341142857,0,0.102984358,0
GrantsPass,2035,0.455428571,0,0.141464704,0
GrantsPass,2040,0.497714286,0,0.179553089,0
GrantsPass,2045,0.509714286,0,0.212061417,0
GrantsPass,2050,0.513142857,0,0.239495056,0
Metro,1990,0,0,0,0
Metro,1995,0,0,0,0
Metro,2000,0,0,0,0
Metro,2005,0,0,0.001950954,0
Metro,2010,0,0,0.013075491,0
Metro,2015,0.075728,0,0.023693475,0
Metro,2020,0.474,0,0.038029223,0
Metro,2025,0.397571429,0,0.066260307,0
Metro,2030,0.657,0,0.102984358,0
Metro,2035,0.771285714,0,0.141464704,0
Metro,2040,0.813571429,0,0.179553089,0
Metro,2045,0.825571429,0,0.212061417,0
Metro,2050,0.829,0,0.239495056,0
RogueValley,1990,0,0,0,0
RogueValley,1995,0,0,0,0
RogueValley,2000,0,0,0,0
RogueValley,2005,0,0,0.001950954,0
RogueValley,2010,0,0,0.013075491,0
RogueValley,2015,0,0,0.023693475,0
RogueValley,2020,0,0,0.038029223,0
RogueValley,2025,0.172571429,0,0.066260307,0
RogueValley,2030,0.341142857,0,0.102984358,0
RogueValley,2035,0.455428571,0,0.141464704,0
RogueValley,2040,0.497714286,0,0.179553089,0
RogueValley,2045,0.509714286,0,0.212061417,0
RogueValley,2050,0.513142857,0,0.239495056,0
SalemKeizer,1990,0,0,0,0
SalemKeizer,1995,0,0,0,0
SalemKeizer,2000,0,0,0,0
SalemKeizer,2005,0,0,0.001950954,0
SalemKeizer,2010,0,0,0.013075491,0
SalemKeizer,2015,0,0,0.023693475,0
SalemKeizer,2020,0,0,0.038029223,0
SalemKeizer,2025,0.172571429,0,0.066260307,0
SalemKeizer,2030,0.341142857,0,0.102984358,0
SalemKeizer,2035,0.455428571,0,0.141464704,0
SalemKeizer,2040,0.497714286,0,0.179553089,0
SalemKeizer,2045,0.509714286,0,0.212061417,0
SalemKeizer,2050,0.513142857,0,0.239495056,0
None,1990,0,0,0,0
None,1995,0,0,0,0
None,2000,0,0,0,0
None,2005,0,0,0.001950954,0
None,2010,0,0,0.013075491,0
None,2015,0,0,0.023693475,0
None,2020,0,0,0.038029223,0
None,2025,0.172571429,0,0.066260307,0
None,2030,0.341142857,0,0.102984358,0
None,2035,0.455428571,0,0.141464704,0
None,2040,0.497714286,0,0.179553089,0
None,2045,0.509714286,0,0.212061417,0
None,2050,0.513142857,0,0.239495056,0
