Year,RunTimeUtilityAdj,AccessTimeUtilityAdj,PropRemoteAccess,RemoteAccessDvmtAdj,PropParkingFeeAvoid
1990,1,1,0,1,0
1995,1,1,0,1,0
2000,1,1,0,1,0
2005,1,1,0,1,0
2010,1,1,0,1,0
2015,0.95,0.95,0.02,1.02,0.02
2020,0.93,0.93,0.05,1.09,0.04
2025,0.9,0.9,0.07,1.12,0.09
2030,0.88,0.88,0.09,1.2,0.12
2035,0.87,0.87,0.12,1.26,0.14
2040,0.85,0.85,0.18,1.36,0.18
2045,0.83,0.83,0.2,1.4,0.2
2050,0.8,0.8,0.22,1.45,0.22
