Year,HvyTrkPropIcev,HvyTrkPropHev,HvyTrkPropBev
1990,1,0,0
1995,1,0,0
2000,1,0,0
2005,1,0,0
2010,1,0,0
2015,1,0,0
2020,1,0,0
2025,0.9956,0.0019,0.0025
2030,0.9632,0.0149,0.0219
2035,0.9009,0.0395,0.0596
2040,0.8552,0.0574,0.0874
2045,0.8322,0.066,0.1018
2050,0.8212,0.0687,0.1101
