Geo,Year,FwyLaneMi,ArtLaneMi
Albany,1990,35,133
Albany,1995,35,133
Albany,2000,35,133
Albany,2005,35,133
Albany,2010,35,133
Albany,2015,35,133
Albany,2020,35,133
Albany,2025,35.99103764,136.3584167
Albany,2030,37.01013686,139.8016376
Albany,2035,38.05809225,143.3318041
Albany,2040,39.13572088,146.9511118
Albany,2045,40.24386295,150.6618115
Albany,2050,41.38338246,154.466211
Bend,1990,48,156.29
Bend,1995,48,158.44
Bend,2000,48,160.93
Bend,2005,48,164
Bend,2010,48,163
Bend,2015,48,181
Bend,2020,48,181
Bend,2025,49.35913733,185.5704768
Bend,2030,50.75675913,190.2563639
Bend,2035,52.19395509,195.0605755
Bend,2040,53.67184578,199.9860995
Bend,2045,55.19158347,205.0359991
Bend,2050,56.75435308,210.213415
Corvallis,1990,10,135.9999775
Corvallis,1995,10,136.7870039
Corvallis,2000,10,132.75
Corvallis,2005,10,136
Corvallis,2010,10,131
Corvallis,2015,10,143
Corvallis,2020,10,143
Corvallis,2025,10.28315361,146.6109292
Corvallis,2030,10.57432482,150.3130389
Corvallis,2035,10.87374064,154.1086315
Corvallis,2040,11.18163454,158.0000675
Corvallis,2045,11.49824656,161.9897672
Corvallis,2050,11.82382356,166.0802119
EugeneSpringfield,1990,126.58,411.589941
EugeneSpringfield,1995,127.81,414.259941
EugeneSpringfield,2000,129.17,417.199941
EugeneSpringfield,2005,130,419
EugeneSpringfield,2010,137,401
EugeneSpringfield,2015,142,416
EugeneSpringfield,2020,142,416
EugeneSpringfield,2025,146.0207813,426.5045213
EugeneSpringfield,2030,150.1554124,437.2742949
EugeneSpringfield,2035,154.4071171,448.3160188
EugeneSpringfield,2040,158.7792104,459.6365601
EugeneSpringfield,2045,163.2751011,471.2429592
EugeneSpringfield,2050,167.8982945,483.1424345
GrantsPass,1990,100,159
GrantsPass,1995,100,159
GrantsPass,2000,100,159
GrantsPass,2005,100,159
GrantsPass,2010,100,159
GrantsPass,2015,100,159
GrantsPass,2020,100,159
GrantsPass,2025,102.8315361,163.0149492
GrantsPass,2030,105.7432482,167.131281
GrantsPass,2035,108.7374064,171.3515553
GrantsPass,2040,111.8163454,175.6783968
GrantsPass,2045,114.9824656,180.1144964
GrantsPass,2050,118.2382356,184.6626132
Metro,1990,506.4,1943.019429
Metro,1995,512.8,1959.999429
Metro,2000,520.91,1981.489429
Metro,2005,523,1995
Metro,2010,535,2014
Metro,2015,562,2094
Metro,2020,572,2163
Metro,2025,588.1963865,2217.618461
Metro,2030,604.8513796,2273.616106
Metro,2035,621.9779648,2331.027761
Metro,2040,639.5894955,2389.889133
Metro,2045,657.699703,2450.236829
Metro,2050,676.3227076,2512.108379
RogueValley,1990,101.26,410
RogueValley,1995,102.6,413.27
RogueValley,2000,103.83,416.3
RogueValley,2005,104.76,418.59
RogueValley,2010,115,418.59
RogueValley,2015,114,415
RogueValley,2020,114,415
RogueValley,2025,117.2279512,425.47927
RogueValley,2030,120.5473029,436.2231548
RogueValley,2035,123.9606433,447.2383361
RogueValley,2040,127.4706337,458.5316645
RogueValley,2045,131.0800107,470.1101637
RogueValley,2050,134.7915886,481.9810344
SalemKeizer,1990,119.37,408.96
SalemKeizer,1995,120.34,412.66
SalemKeizer,2000,121.41,416.75
SalemKeizer,2005,122,419
SalemKeizer,2010,129,419
SalemKeizer,2015,137,434
SalemKeizer,2020,143.5,435.9
SalemKeizer,2025,147.5632543,446.9070212
SalemKeizer,2030,151.7415611,458.1919836
SalemKeizer,2035,156.0381782,469.7619053
SalemKeizer,2040,160.4564556,481.6239821
SalemKeizer,2045,164.9998381,493.7855912
SalemKeizer,2050,169.6718681,506.2542961
None,1990,2237,12546
None,1995,2250,11678
None,2000,2270,14223
None,2005,2236,14465
None,2010,2202,14706
None,2015,2333,15145
None,2020,2333,15145
None,2025,2349.376791,15239.89319
None,2030,2365.868541,15335.38094
None,2035,2382.476056,15431.46699
None,2040,2399.200151,15528.15507
None,2045,2416.041642,15625.44897
None,2050,2433.001354,15723.35248
