Geo,Year,PropSovDvmtDiverted
Harney,2015,0.04125
Hood River,2015,0.04125
Jackson,2015,0.041666667
Jefferson,2015,0.04125
Josephine,2015,0.011
Klamath,2015,0.04125
Lake,2015,0.04125
Lane,2015,0.086
Lincoln,2015,0.04125
Linn,2015,0.02
Malheur,2015,0.04125
Marion,2015,0.04
Morrow,2015,0.04125
Multnomah,2015,0.186
Polk,2015,0.04125
Sherman,2015,0.04125
Tillamook,2015,0.04125
Umatilla,2015,0.04125
Union,2015,0.04125
Wallowa,2015,0.04125
Wasco,2015,0.04125
Washington,2015,0.101
Wheeler,2015,0.04125
Yamhill,2015,0.04125
Baker,2020,0.0425
Benton,2020,0.102
Clackamas,2020,0.05
Clatsop,2020,0.0425
Columbia,2020,0.0425
Coos,2020,0.0425
Crook,2020,0.0425
Curry,2020,0.0425
Deschutes,2020,0.06
Douglas,2020,0.0425
Gilliam,2020,0.0425
Grant,2020,0.0425
Harney,2020,0.0425
Hood River,2020,0.0425
Jackson,2020,0.043333333
Jefferson,2020,0.0425
Josephine,2020,0.011
Klamath,2020,0.0425
Lake,2020,0.0425
Lane,2020,0.112
Lincoln,2020,0.0425
Linn,2020,0.02
Malheur,2020,0.0425
Marion,2020,0.04
Morrow,2020,0.0425
Multnomah,2020,0.225
Polk,2020,0.0425
Sherman,2020,0.0425
Tillamook,2020,0.0425
Umatilla,2020,0.0425
Union,2020,0.0425
Wallowa,2020,0.0425
Wasco,2020,0.0425
Washington,2020,0.122
Wheeler,2020,0.0425
Yamhill,2020,0.0425
Baker,2025,0.0715
Benton,2025,0.1212
Clackamas,2025,0.14
Clatsop,2025,0.0715
Columbia,2025,0.0715
Coos,2025,0.0715
Crook,2025,0.0715
Curry,2025,0.0715
Deschutes,2025,0.1031
Douglas,2025,0.0715
Gilliam,2025,0.0715
Grant,2025,0.0715
Harney,2025,0.0715
Hood River,2025,0.0715
Jackson,2025,0.072
Jefferson,2025,0.0715
Josephine,2025,0.0584
Klamath,2025,0.0715
Lake,2025,0.0715
Lane,2025,0.1632
Lincoln,2025,0.0715
Linn,2025,0.086
Malheur,2025,0.0715
Marion,2025,0.072666667
Morrow,2025,0.0715
Multnomah,2025,0.2104
Polk,2025,0.0715
Sherman,2025,0.0715
Tillamook,2025,0.0715
Umatilla,2025,0.0715
Union,2025,0.0715
Wallowa,2025,0.0715
Wasco,2025,0.0715
Washington,2025,0.168
Wheeler,2025,0.0715
Yamhill,2025,0.0715
Baker,2030,0.09
Benton,2030,0.1416
Clackamas,2030,0.164
Clatsop,2030,0.09
Columbia,2030,0.09
Coos,2030,0.09
Crook,2030,0.09
Curry,2030,0.09
Deschutes,2030,0.1222
Douglas,2030,0.09
Gilliam,2030,0.09
Grant,2030,0.09
Harney,2030,0.09
Hood River,2030,0.09
Jackson,2030,0.090666667
Jefferson,2030,0.09
Josephine,2030,0.0764
Klamath,2030,0.09
Lake,2030,0.09
Lane,2030,0.2036
Lincoln,2030,0.09
Linn,2030,0.104
Malheur,2030,0.09
Marion,2030,0.093333333
Morrow,2030,0.09
Multnomah,2030,0.2352
Polk,2030,0.09
Sherman,2030,0.09
Tillamook,2030,0.09
Umatilla,2030,0.09
Union,2030,0.09
Wallowa,2030,0.09
Wasco,2030,0.09
Washington,2030,0.1916
Wheeler,2030,0.09
Yamhill,2030,0.09
Baker,2035,0.1145
Benton,2035,0.168
Clackamas,2035,0.194
Clatsop,2035,0.1145
Columbia,2035,0.1145
Coos,2035,0.1145
Crook,2035,0.1145
Curry,2035,0.1145
Deschutes,2035,0.1484
Douglas,2035,0.1145
Gilliam,2035,0.1145
